{
    (33, 30): {
        (33, 19),
        (35, 17),
        (30, 17),
        (34, 19),
        (32, 14),
        (33, 16),
        (34, 16),
        (30, 15),
        (31, 16),
        (34, 15),
        (34, 18),
        (33, 15),
        (31, 18),
    },
    (46, 20): {
        (46, 17),
        (45, 20),
        (44, 20),
        (48, 18),
        (48, 20),
        (46, 18),
        (45, 21),
        (45, 18),
        (45, 22),
        (47, 22),
        (44, 22),
        (44, 19),
        (46, 19),
        (48, 19),
        (48, 21),
        (44, 18),
        (45, 19),
        (46, 20),
        (46, 22),
        (49, 20),
        (47, 21),
        (44, 21),
        (47, 18),
        (43, 20),
        (48, 22),
        (46, 21),
        (47, 20),
        (47, 19),
        (46, 23),
    },
    (5, 46): {
        (2, 46),
        (5, 46),
        (5, 43),
        (5, 48),
        (3, 47),
        (7, 45),
        (5, 49),
        (4, 48),
        (5, 47),
        (6, 46),
        (7, 48),
        (7, 47),
        (4, 44),
        (7, 46),
        (5, 45),
        (6, 48),
        (5, 44),
        (6, 45),
        (3, 44),
        (4, 45),
        (6, 47),
        (3, 48),
        (8, 46),
        (7, 44),
        (6, 44),
        (3, 45),
        (4, 46),
        (4, 47),
        (3, 46),
    },
    (32, 5): {
        (32, 7),
        (33, 4),
        (31, 6),
        (32, 2),
        (32, 4),
        (33, 5),
        (33, 6),
        (30, 6),
        (29, 5),
        (34, 6),
        (34, 3),
        (31, 7),
        (34, 5),
        (30, 5),
        (31, 3),
        (30, 7),
        (32, 3),
        (32, 5),
        (33, 7),
        (32, 6),
        (32, 8),
        (31, 5),
        (33, 3),
        (31, 4),
        (30, 4),
        (30, 3),
        (35, 5),
        (34, 7),
        (34, 4),
    },
    (34, 6): {
        (34, 8),
        (34, 9),
        (32, 5),
        (34, 4),
        (35, 8),
        (31, 6),
        (34, 5),
        (34, 3),
        (32, 6),
        (32, 7),
        (33, 5),
        (35, 6),
        (34, 7),
        (36, 8),
        (33, 4),
        (37, 6),
        (32, 8),
        (36, 7),
        (35, 7),
        (32, 4),
        (33, 7),
        (34, 6),
        (35, 5),
        (36, 4),
        (36, 5),
        (33, 8),
        (33, 6),
        (35, 4),
        (36, 6),
    },
    (27, 43): {
        (27, 44),
        (27, 41),
        (29, 42),
        (26, 42),
        (29, 44),
        (25, 43),
        (27, 45),
        (25, 44),
        (27, 43),
        (28, 45),
        (25, 42),
        (27, 46),
        (28, 42),
        (25, 45),
        (26, 41),
        (29, 43),
        (26, 44),
        (29, 45),
        (28, 41),
        (27, 42),
        (25, 41),
        (28, 43),
        (29, 41),
        (28, 44),
        (24, 43),
        (30, 43),
        (26, 43),
        (26, 45),
        (27, 40),
    },
    (29, 23): {
        (29, 23),
        (29, 26),
        (29, 22),
        (31, 22),
        (28, 25),
        (28, 23),
        (30, 22),
        (32, 23),
        (27, 25),
        (30, 21),
        (29, 24),
        (27, 24),
        (28, 24),
        (30, 25),
        (31, 24),
        (28, 21),
        (26, 23),
        (31, 23),
        (31, 21),
        (28, 22),
        (29, 25),
        (31, 25),
        (27, 21),
        (27, 22),
        (27, 23),
        (29, 21),
        (30, 24),
        (30, 23),
        (29, 20),
    },
    (22, 13): {
        (24, 12),
        (25, 13),
        (23, 15),
        (22, 12),
        (20, 13),
        (20, 11),
        (24, 14),
        (22, 11),
        (21, 12),
        (21, 14),
        (22, 15),
        (20, 14),
        (20, 15),
        (23, 13),
        (21, 13),
        (24, 13),
        (22, 16),
        (23, 14),
        (21, 11),
        (21, 15),
        (22, 10),
        (20, 12),
        (24, 11),
        (23, 12),
        (19, 13),
        (24, 15),
        (22, 13),
        (22, 14),
        (23, 11),
    },
    (38, 35): {
        (36, 37),
        (41, 35),
        (38, 38),
        (38, 33),
        (39, 34),
        (40, 35),
        (37, 34),
        (39, 35),
        (40, 33),
        (38, 37),
        (38, 35),
        (36, 34),
        (38, 34),
        (36, 36),
        (38, 32),
        (37, 33),
        (37, 36),
        (35, 35),
        (40, 36),
        (39, 36),
        (40, 34),
        (36, 35),
        (40, 37),
        (37, 35),
        (39, 33),
        (39, 37),
        (36, 33),
        (37, 37),
        (38, 36),
    },
    (35, 0): {
        (36, 0),
        (33, 0),
        (36, 2),
        (37, 1),
        (36, 1),
        (33, 2),
        (35, 0),
        (35, 2),
        (34, 1),
        (32, 0),
        (37, 0),
        (37, 2),
        (38, 0),
        (35, 3),
        (35, 1),
        (33, 1),
        (34, 2),
        (34, 0),
    },
    (32, 16): {
        (34, 17),
        (32, 14),
        (30, 18),
        (32, 17),
        (32, 16),
        (33, 18),
        (32, 15),
        (30, 16),
        (31, 16),
        (32, 13),
        (32, 18),
        (33, 17),
        (30, 15),
        (31, 18),
        (33, 15),
        (34, 14),
        (35, 16),
        (34, 15),
        (34, 18),
        (33, 14),
        (32, 19),
        (30, 14),
        (31, 17),
        (34, 16),
        (30, 17),
        (29, 16),
        (33, 16),
        (31, 14),
        (31, 15),
    },
    (40, 6): {
        (38, 8),
        (42, 4),
        (39, 6),
        (40, 9),
        (41, 5),
        (42, 5),
        (38, 6),
        (40, 6),
        (40, 8),
        (41, 7),
        (42, 6),
        (39, 7),
        (39, 8),
        (38, 7),
        (40, 3),
        (41, 4),
        (42, 7),
        (39, 4),
        (40, 5),
        (41, 6),
        (43, 6),
        (39, 5),
        (37, 6),
        (38, 4),
        (38, 5),
        (40, 7),
        (41, 8),
        (40, 4),
        (42, 8),
    },
    (9, 49): {
        (11, 47),
        (12, 49),
        (10, 48),
        (7, 48),
        (7, 49),
        (9, 47),
        (10, 49),
        (9, 48),
        (11, 48),
        (9, 46),
        (9, 49),
        (8, 48),
        (7, 47),
        (6, 49),
        (8, 47),
        (8, 49),
        (10, 47),
        (11, 49),
    },
    (15, 7): {
        (14, 7),
        (15, 4),
        (17, 5),
        (17, 9),
        (13, 5),
        (13, 9),
        (16, 5),
        (15, 5),
        (18, 7),
        (15, 6),
        (17, 6),
        (14, 5),
        (13, 7),
        (14, 6),
        (16, 6),
        (16, 7),
        (13, 8),
        (17, 7),
        (15, 9),
        (13, 6),
        (12, 7),
        (14, 9),
        (15, 10),
        (14, 8),
        (15, 7),
        (16, 9),
        (15, 8),
        (17, 8),
        (16, 8),
    },
    (16, 38): {
        (16, 35),
        (15, 36),
        (18, 37),
        (16, 37),
        (18, 38),
        (16, 36),
        (13, 38),
        (16, 40),
        (15, 40),
        (18, 39),
        (15, 39),
        (16, 39),
        (15, 38),
        (18, 36),
        (14, 39),
        (16, 38),
        (14, 40),
        (14, 37),
        (14, 38),
        (17, 37),
        (17, 40),
        (17, 36),
        (14, 36),
        (16, 41),
        (17, 39),
        (18, 40),
        (17, 38),
        (15, 37),
        (19, 38),
    },
    (20, 17): {
        (18, 15),
        (20, 18),
        (20, 20),
        (18, 17),
        (19, 16),
        (19, 18),
        (17, 17),
        (19, 15),
        (22, 18),
        (20, 15),
        (18, 19),
        (20, 19),
        (23, 17),
        (22, 16),
        (20, 14),
        (21, 19),
        (22, 19),
        (18, 16),
        (18, 18),
        (20, 17),
        (22, 17),
        (21, 16),
        (19, 19),
        (19, 17),
        (20, 16),
        (21, 18),
        (21, 15),
        (21, 17),
        (22, 15),
    },
    (0, 13): {
        (0, 16),
        (0, 12),
        (0, 13),
        (0, 14),
        (0, 11),
        (2, 13),
        (2, 15),
        (0, 15),
        (1, 15),
        (1, 11),
        (2, 11),
        (2, 12),
        (1, 12),
        (1, 13),
        (3, 13),
        (2, 14),
        (1, 14),
        (0, 10),
    },
    (0, 16): {
        (1, 18),
        (1, 14),
        (0, 15),
        (1, 15),
        (0, 14),
        (2, 15),
        (2, 18),
        (3, 16),
        (0, 19),
        (0, 13),
        (2, 17),
        (0, 16),
        (0, 18),
        (2, 16),
        (1, 16),
        (0, 17),
        (1, 17),
        (2, 14),
    },
    (36, 49): {
        (36, 47),
        (34, 49),
        (36, 49),
        (38, 49),
        (34, 48),
        (35, 48),
        (35, 47),
        (39, 49),
        (38, 48),
        (36, 48),
        (33, 49),
        (38, 47),
        (34, 47),
        (37, 49),
        (36, 46),
        (35, 49),
        (37, 47),
        (37, 48),
    },
    (45, 18): {
        (47, 19),
        (45, 20),
        (45, 21),
        (43, 20),
        (43, 17),
        (44, 18),
        (46, 16),
        (43, 19),
        (46, 18),
        (47, 17),
        (42, 18),
        (47, 18),
        (43, 16),
        (47, 20),
        (45, 18),
        (45, 15),
        (46, 20),
        (47, 16),
        (48, 18),
        (45, 19),
        (44, 16),
        (46, 17),
        (44, 17),
        (46, 19),
        (43, 18),
        (45, 16),
        (44, 20),
        (45, 17),
        (44, 19),
    },
    (9, 32): {
        (7, 30),
        (9, 32),
        (10, 30),
        (9, 35),
        (7, 31),
        (7, 32),
        (7, 33),
        (7, 34),
        (10, 33),
        (9, 31),
        (9, 34),
        (11, 30),
        (11, 34),
        (9, 33),
        (8, 33),
        (8, 31),
        (9, 30),
        (11, 33),
        (8, 32),
        (10, 31),
        (10, 32),
        (11, 32),
        (8, 34),
        (10, 34),
        (12, 32),
        (9, 29),
        (11, 31),
        (6, 32),
        (8, 30),
    },
    (5, 33): {
        (5, 34),
        (7, 34),
        (4, 34),
        (5, 36),
        (3, 33),
        (4, 32),
        (5, 30),
        (6, 35),
        (3, 35),
        (8, 33),
        (4, 31),
        (2, 33),
        (6, 34),
        (5, 35),
        (6, 31),
        (5, 32),
        (3, 34),
        (3, 31),
        (6, 32),
        (6, 33),
        (7, 32),
        (7, 33),
        (4, 35),
        (4, 33),
        (3, 32),
        (7, 35),
        (5, 31),
        (7, 31),
        (5, 33),
    },
    (27, 39): {
        (25, 39),
        (26, 41),
        (24, 39),
        (25, 40),
        (26, 38),
        (27, 40),
        (29, 41),
        (28, 39),
        (29, 39),
        (28, 37),
        (26, 37),
        (25, 37),
        (26, 39),
        (25, 38),
        (27, 36),
        (27, 41),
        (30, 39),
        (28, 38),
        (27, 37),
        (27, 42),
        (27, 38),
        (26, 40),
        (28, 40),
        (29, 38),
        (29, 40),
        (27, 39),
        (28, 41),
        (25, 41),
        (29, 37),
    },
    (32, 18): {
        (34, 16),
        (30, 19),
        (31, 17),
        (31, 18),
        (29, 18),
        (33, 20),
        (32, 16),
        (33, 17),
        (30, 16),
        (31, 16),
        (32, 20),
        (34, 18),
        (30, 18),
        (32, 21),
        (33, 16),
        (32, 18),
        (32, 19),
        (33, 19),
        (30, 20),
        (32, 15),
        (31, 19),
        (33, 18),
        (34, 17),
        (31, 20),
        (34, 19),
        (34, 20),
        (32, 17),
        (30, 17),
        (35, 18),
    },
    (9, 34): {
        (8, 36),
        (12, 34),
        (10, 34),
        (8, 33),
        (9, 34),
        (10, 36),
        (6, 34),
        (8, 35),
        (9, 37),
        (10, 33),
        (10, 32),
        (9, 33),
        (7, 34),
        (11, 36),
        (11, 32),
        (9, 35),
        (7, 36),
        (8, 32),
        (8, 34),
        (11, 35),
        (10, 35),
        (7, 35),
        (11, 33),
        (11, 34),
        (7, 32),
        (9, 32),
        (9, 31),
        (9, 36),
        (7, 33),
    },
    (30, 0): {
        (33, 0),
        (32, 1),
        (29, 1),
        (27, 0),
        (30, 3),
        (28, 0),
        (28, 2),
        (30, 0),
        (31, 0),
        (32, 0),
        (31, 1),
        (28, 1),
        (29, 0),
        (30, 1),
        (29, 2),
        (32, 2),
        (31, 2),
        (30, 2),
    },
    (19, 18): {
        (18, 19),
        (19, 20),
        (19, 16),
        (21, 20),
        (17, 19),
        (19, 21),
        (19, 15),
        (18, 17),
        (22, 18),
        (18, 16),
        (20, 20),
        (19, 17),
        (17, 17),
        (18, 18),
        (21, 17),
        (17, 16),
        (17, 20),
        (21, 18),
        (20, 16),
        (21, 16),
        (17, 18),
        (19, 18),
        (19, 19),
        (21, 19),
        (20, 17),
        (16, 18),
        (20, 19),
        (18, 20),
        (20, 18),
    },
    (3, 24): {
        (0, 24),
        (4, 22),
        (2, 22),
        (3, 21),
        (3, 22),
        (3, 27),
        (2, 26),
        (1, 24),
        (1, 23),
        (4, 25),
        (3, 25),
        (4, 23),
        (5, 24),
        (5, 26),
        (2, 25),
        (6, 24),
        (1, 26),
        (3, 23),
        (4, 26),
        (1, 25),
        (2, 24),
        (1, 22),
        (5, 22),
        (4, 24),
        (5, 23),
        (5, 25),
        (3, 24),
        (2, 23),
        (3, 26),
    },
    (29, 44): {
        (30, 43),
        (30, 46),
        (29, 47),
        (28, 42),
        (28, 44),
        (28, 46),
        (29, 44),
        (27, 45),
        (31, 45),
        (27, 46),
        (30, 44),
        (29, 41),
        (32, 44),
        (27, 42),
        (31, 42),
        (30, 42),
        (28, 45),
        (31, 43),
        (30, 45),
        (27, 43),
        (31, 44),
        (29, 46),
        (29, 43),
        (26, 44),
        (29, 45),
        (31, 46),
        (27, 44),
        (28, 43),
        (29, 42),
    },
    (36, 34): {
        (36, 37),
        (34, 36),
        (37, 32),
        (34, 32),
        (34, 35),
        (37, 35),
        (36, 35),
        (35, 33),
        (35, 35),
        (36, 33),
        (36, 34),
        (35, 36),
        (38, 35),
        (38, 33),
        (35, 32),
        (37, 36),
        (35, 34),
        (33, 34),
        (38, 32),
        (36, 31),
        (36, 36),
        (38, 36),
        (38, 34),
        (37, 33),
        (37, 34),
        (34, 33),
        (39, 34),
        (36, 32),
        (34, 34),
    },
    (41, 9): {
        (39, 7),
        (43, 10),
        (44, 9),
        (40, 8),
        (43, 8),
        (42, 8),
        (41, 12),
        (42, 7),
        (42, 10),
        (41, 11),
        (40, 11),
        (42, 9),
        (41, 8),
        (39, 8),
        (39, 11),
        (43, 11),
        (41, 7),
        (38, 9),
        (39, 9),
        (40, 9),
        (39, 10),
        (41, 9),
        (40, 7),
        (42, 11),
        (43, 9),
        (40, 10),
        (43, 7),
        (41, 6),
        (41, 10),
    },
    (5, 23): {
        (8, 23),
        (7, 25),
        (6, 25),
        (2, 23),
        (3, 21),
        (4, 23),
        (7, 21),
        (3, 23),
        (4, 25),
        (7, 23),
        (6, 22),
        (3, 22),
        (5, 26),
        (7, 22),
        (4, 21),
        (5, 24),
        (4, 22),
        (5, 20),
        (5, 25),
        (6, 21),
        (4, 24),
        (5, 23),
        (5, 21),
        (6, 23),
        (5, 22),
        (7, 24),
        (3, 24),
        (6, 24),
        (3, 25),
    },
    (25, 46): {
        (27, 45),
        (24, 47),
        (22, 46),
        (24, 44),
        (27, 48),
        (25, 45),
        (25, 43),
        (25, 46),
        (24, 45),
        (23, 45),
        (27, 44),
        (27, 46),
        (25, 49),
        (26, 45),
        (23, 47),
        (28, 46),
        (23, 44),
        (26, 44),
        (24, 46),
        (23, 46),
        (26, 46),
        (26, 47),
        (27, 47),
        (24, 48),
        (23, 48),
        (25, 48),
        (26, 48),
        (25, 47),
        (25, 44),
    },
    (33, 25): {
        (33, 27),
        (35, 26),
        (31, 26),
        (34, 24),
        (31, 27),
        (31, 23),
        (33, 24),
        (33, 28),
        (34, 26),
        (35, 27),
        (35, 23),
        (31, 24),
        (32, 27),
        (34, 27),
        (33, 23),
        (32, 26),
        (35, 25),
        (30, 25),
        (33, 25),
        (32, 25),
        (31, 25),
        (36, 25),
        (32, 24),
        (35, 24),
        (33, 22),
        (33, 26),
        (34, 23),
        (34, 25),
        (32, 23),
    },
    (4, 21): {
        (6, 23),
        (4, 18),
        (4, 20),
        (7, 21),
        (2, 23),
        (5, 20),
        (1, 21),
        (2, 21),
        (3, 22),
        (5, 22),
        (4, 21),
        (5, 21),
        (6, 19),
        (6, 20),
        (4, 19),
        (6, 21),
        (3, 19),
        (3, 23),
        (6, 22),
        (2, 22),
        (5, 19),
        (5, 23),
        (4, 22),
        (4, 23),
        (3, 21),
        (4, 24),
        (2, 20),
        (2, 19),
        (3, 20),
    },
    (6, 48): {
        (8, 46),
        (8, 49),
        (7, 49),
        (9, 48),
        (5, 47),
        (7, 46),
        (6, 46),
        (4, 48),
        (5, 49),
        (3, 48),
        (7, 47),
        (7, 48),
        (4, 47),
        (6, 45),
        (6, 48),
        (8, 47),
        (6, 49),
        (4, 46),
        (4, 49),
        (5, 46),
        (5, 48),
        (6, 47),
        (8, 48),
    },
    (16, 14): {
        (16, 12),
        (15, 14),
        (15, 15),
        (16, 11),
        (16, 14),
        (17, 16),
        (18, 12),
        (17, 14),
        (14, 12),
        (17, 12),
        (13, 14),
        (14, 14),
        (14, 16),
        (17, 15),
        (16, 17),
        (18, 16),
        (19, 14),
        (17, 13),
        (18, 15),
        (18, 14),
        (16, 16),
        (15, 16),
        (16, 15),
        (14, 15),
        (14, 13),
        (18, 13),
        (15, 12),
        (15, 13),
        (16, 13),
    },
    (26, 10): {
        (29, 10),
        (26, 9),
        (26, 12),
        (26, 10),
        (28, 8),
        (27, 8),
        (27, 12),
        (28, 10),
        (24, 10),
        (25, 10),
        (23, 10),
        (24, 12),
        (27, 9),
        (27, 10),
        (24, 11),
        (25, 11),
        (28, 12),
        (26, 13),
        (24, 8),
        (26, 8),
        (26, 11),
        (25, 8),
        (27, 11),
        (26, 7),
        (28, 9),
        (25, 9),
        (28, 11),
        (24, 9),
        (25, 12),
    },
    (42, 39): {
        (41, 40),
        (41, 39),
        (41, 41),
        (43, 39),
        (44, 38),
        (40, 38),
        (42, 38),
        (41, 37),
        (43, 37),
        (42, 37),
        (42, 40),
        (45, 39),
        (40, 39),
        (40, 37),
        (44, 39),
        (39, 39),
        (44, 37),
        (42, 36),
        (42, 39),
        (42, 41),
        (44, 41),
        (44, 40),
        (42, 42),
        (43, 38),
        (43, 40),
        (43, 41),
        (40, 40),
        (40, 41),
        (41, 38),
    },
    (33, 6): {
        (32, 7),
        (34, 4),
        (31, 8),
        (33, 6),
        (33, 8),
        (31, 4),
        (31, 5),
        (35, 6),
        (33, 7),
        (35, 4),
        (35, 5),
        (34, 5),
        (34, 8),
        (33, 9),
        (31, 7),
        (32, 4),
        (32, 5),
        (33, 4),
        (33, 5),
        (35, 7),
        (33, 3),
        (35, 8),
        (34, 6),
        (30, 6),
        (32, 6),
        (31, 6),
        (32, 8),
        (34, 7),
        (36, 6),
    },
    (36, 47): {
        (37, 47),
        (37, 46),
        (38, 46),
        (36, 46),
        (34, 49),
        (36, 45),
        (37, 48),
        (37, 49),
        (36, 48),
        (38, 47),
        (33, 47),
        (34, 45),
        (35, 45),
        (36, 47),
        (34, 46),
        (37, 45),
        (35, 49),
        (34, 48),
        (34, 47),
        (35, 47),
        (36, 44),
        (36, 49),
        (35, 46),
        (38, 45),
        (38, 48),
        (35, 48),
        (38, 49),
        (39, 47),
    },
    (43, 1): {
        (44, 0),
        (43, 3),
        (44, 3),
        (43, 2),
        (43, 0),
        (43, 4),
        (45, 1),
        (42, 3),
        (45, 2),
        (45, 3),
        (41, 2),
        (44, 2),
        (45, 0),
        (43, 1),
        (41, 1),
        (42, 1),
        (46, 1),
        (42, 0),
        (41, 3),
        (40, 1),
        (41, 0),
        (42, 2),
        (44, 1),
    },
    (18, 5): {
        (18, 3),
        (18, 5),
        (15, 5),
        (17, 6),
        (19, 5),
        (20, 7),
        (21, 5),
        (17, 3),
        (18, 7),
        (17, 4),
        (17, 7),
        (20, 4),
        (18, 2),
        (19, 4),
        (20, 3),
        (16, 6),
        (18, 8),
        (19, 7),
        (17, 5),
        (20, 5),
        (16, 5),
        (18, 6),
        (20, 6),
        (18, 4),
        (16, 3),
        (19, 6),
        (16, 4),
        (19, 3),
        (16, 7),
    },
    (18, 35): {
        (20, 33),
        (19, 34),
        (19, 35),
        (18, 38),
        (18, 34),
        (16, 33),
        (16, 34),
        (17, 35),
        (17, 33),
        (16, 35),
        (18, 33),
        (15, 35),
        (16, 36),
        (21, 35),
        (20, 37),
        (17, 34),
        (17, 36),
        (19, 37),
        (18, 36),
        (18, 35),
        (19, 33),
        (18, 37),
        (19, 36),
        (17, 37),
        (16, 37),
        (18, 32),
        (20, 35),
        (20, 36),
        (20, 34),
    },
    (22, 44): {
        (22, 43),
        (20, 43),
        (23, 43),
        (22, 44),
        (22, 46),
        (24, 42),
        (24, 43),
        (22, 41),
        (24, 44),
        (20, 44),
        (21, 45),
        (24, 46),
        (21, 42),
        (23, 42),
        (20, 45),
        (22, 47),
        (23, 45),
        (23, 46),
        (25, 44),
        (21, 46),
        (19, 44),
        (21, 44),
        (20, 42),
        (20, 46),
        (22, 42),
        (23, 44),
        (22, 45),
        (24, 45),
        (21, 43),
    },
    (32, 47): {
        (32, 49),
        (31, 49),
        (32, 44),
        (31, 46),
        (32, 48),
        (31, 47),
        (33, 45),
        (33, 48),
        (32, 46),
        (33, 49),
        (29, 47),
        (34, 46),
        (34, 47),
        (30, 45),
        (34, 48),
        (34, 49),
        (30, 48),
        (32, 45),
        (31, 45),
        (33, 47),
        (35, 47),
        (30, 46),
        (32, 47),
        (30, 49),
        (31, 48),
        (30, 47),
        (33, 46),
        (34, 45),
    },
    (3, 46): {
        (5, 47),
        (3, 43),
        (3, 48),
        (4, 46),
        (0, 46),
        (3, 45),
        (2, 44),
        (2, 46),
        (1, 48),
        (5, 46),
        (6, 46),
        (3, 47),
        (1, 44),
        (3, 49),
        (1, 47),
        (2, 48),
        (4, 44),
        (2, 45),
        (1, 45),
        (4, 48),
        (5, 45),
        (2, 47),
        (4, 45),
        (1, 46),
        (5, 48),
        (5, 44),
        (3, 46),
        (4, 47),
        (3, 44),
    },
    (40, 15): {
        (40, 17),
        (39, 15),
        (42, 13),
        (42, 14),
        (42, 16),
        (39, 16),
        (42, 15),
        (41, 17),
        (38, 17),
        (40, 14),
        (40, 18),
        (38, 14),
        (40, 16),
        (37, 15),
        (38, 15),
        (43, 15),
        (40, 13),
        (38, 13),
        (40, 12),
        (41, 16),
        (42, 17),
        (38, 16),
        (39, 17),
        (41, 15),
        (41, 14),
        (40, 15),
        (39, 13),
        (41, 13),
        (39, 14),
    },
    (37, 16): {
        (35, 15),
        (39, 15),
        (34, 16),
        (38, 17),
        (39, 18),
        (35, 17),
        (39, 14),
        (37, 15),
        (36, 17),
        (37, 18),
        (37, 13),
        (38, 14),
        (37, 17),
        (38, 16),
        (36, 18),
        (37, 19),
        (37, 16),
        (36, 15),
        (35, 18),
        (36, 14),
        (37, 14),
        (38, 18),
        (39, 16),
        (38, 15),
        (35, 14),
        (39, 17),
        (35, 16),
        (40, 16),
        (36, 16),
    },
    (43, 15): {
        (45, 14),
        (40, 15),
        (46, 15),
        (45, 15),
        (43, 14),
        (41, 14),
        (41, 16),
        (41, 17),
        (42, 15),
        (42, 16),
        (44, 16),
        (42, 17),
        (43, 15),
        (41, 15),
        (43, 18),
        (44, 15),
        (41, 13),
        (43, 16),
        (43, 12),
        (42, 14),
        (42, 13),
        (44, 17),
        (45, 17),
        (44, 13),
        (43, 17),
        (43, 13),
        (44, 14),
        (45, 16),
        (45, 13),
    },
    (2, 37): {
        (5, 37),
        (3, 36),
        (1, 38),
        (0, 37),
        (2, 34),
        (2, 39),
        (3, 39),
        (4, 35),
        (2, 40),
        (4, 39),
        (3, 37),
        (0, 38),
        (2, 36),
        (1, 36),
        (1, 35),
        (2, 38),
        (3, 35),
        (2, 37),
        (1, 39),
        (4, 37),
        (4, 38),
        (1, 37),
        (0, 36),
        (0, 39),
        (3, 38),
        (4, 36),
        (2, 35),
        (0, 35),
    },
    (16, 33): {
        (15, 33),
        (16, 35),
        (17, 31),
        (14, 33),
        (14, 34),
        (17, 33),
        (18, 32),
        (17, 35),
        (18, 33),
        (16, 32),
        (16, 36),
        (18, 35),
        (15, 35),
        (16, 33),
        (18, 31),
        (16, 30),
        (15, 32),
        (19, 33),
        (14, 32),
        (15, 31),
        (16, 31),
        (18, 34),
        (14, 35),
        (16, 34),
        (13, 33),
        (17, 34),
        (15, 34),
        (17, 32),
        (14, 31),
    },
    (25, 18): {
        (23, 20),
        (25, 18),
        (26, 18),
        (23, 19),
        (25, 21),
        (23, 16),
        (26, 20),
        (27, 17),
        (24, 20),
        (26, 16),
        (25, 17),
        (27, 18),
        (27, 16),
        (23, 17),
        (27, 19),
        (25, 16),
        (24, 18),
        (24, 17),
        (25, 15),
        (24, 19),
        (26, 17),
        (27, 20),
        (25, 20),
        (28, 18),
        (26, 19),
        (24, 16),
        (23, 18),
        (22, 18),
        (25, 19),
    },
    (45, 25): {
        (43, 25),
        (45, 28),
        (46, 23),
        (45, 26),
        (43, 23),
        (47, 23),
        (46, 24),
        (47, 25),
        (46, 27),
        (48, 25),
        (46, 25),
        (44, 26),
        (45, 22),
        (43, 24),
        (45, 23),
        (44, 23),
        (47, 24),
        (43, 27),
        (47, 27),
        (47, 26),
        (42, 25),
        (44, 27),
        (46, 26),
        (44, 25),
        (45, 24),
        (45, 25),
        (44, 24),
        (43, 26),
        (45, 27),
    },
    (47, 9): {
        (47, 12),
        (49, 8),
        (46, 7),
        (49, 9),
        (46, 10),
        (47, 9),
        (49, 10),
        (49, 11),
        (46, 9),
        (48, 7),
        (47, 7),
        (46, 11),
        (45, 11),
        (47, 11),
        (44, 9),
        (46, 8),
        (48, 8),
        (47, 10),
        (45, 9),
        (47, 6),
        (48, 9),
        (45, 10),
        (47, 8),
        (45, 8),
        (45, 7),
        (48, 10),
        (49, 7),
        (48, 11),
    },
    (34, 21): {
        (36, 20),
        (33, 23),
        (35, 19),
        (36, 19),
        (32, 19),
        (34, 24),
        (32, 21),
        (36, 23),
        (37, 21),
        (35, 20),
        (36, 22),
        (35, 23),
        (34, 19),
        (34, 23),
        (31, 21),
        (32, 23),
        (32, 20),
        (34, 21),
        (33, 20),
        (33, 19),
        (34, 22),
        (32, 22),
        (35, 22),
        (34, 18),
        (36, 21),
        (34, 20),
        (33, 21),
        (35, 21),
        (33, 22),
    },
